Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00519459,0.0135875,0.0172433,1,209,178.027,11.9333,1,1,1,209,0,0,0
0.0136828,0.00126881,0.0285386,1,208,178.027,12.6029,1,1,1,208,0,0,0
0.00809279,0.00610667,0.0105462,1,209,178.027,11.8015,1,1,1,209,0,0,0
0.00421159,0.000778748,0.0101252,1,213,178.027,12.3166,1,1,1,213,0,0,0
0.0131052,0.00129713,0.0247403,1,208,178.027,12.4436,1,1,1,208,0,0,0
0.00595741,0.0059372,0.0107418,1,207,178.027,12.1316,1,1,1,207,0,0,0
0.0126531,0.0077429,0.0279042,1,212,178.027,12.6713,1,1,1,212,0,0,0
0.00675271,0.000995149,0.0107108,1,207,178.027,12.1492,1,1,1,207,0,0,0
0.00439253,0.00407955,0.0115397,1,212,178.027,12.1927,1,1,1,212,0,0,0
0.013708,0.00131059,0.0268139,1,208,178.027,12.7644,1,1,1,208,0,0,0
0.00848848,0.0064871,0.0100995,1,211,178.027,11.8965,1,1,1,211,0,0,0
0.00460851,0.000425568,0.00732459,1,215,178.027,12.2452,1,1,1,215,0,0,0
0.00755224,0.00233145,0.0260935,1,212,178.027,12.2077,1,1,1,212,0,0,0
0.0187525,0.0193175,0.0107257,1,211,178.027,12.5004,1,1,1,211,0,0,0
0.00570652,0.00712523,0.00713788,1,211,178.027,12.4558,1,1,1,211,0,0,0
0.0132053,0.0014205,0.0259683,1,208,178.027,12.3659,1,1,1,208,0,0,0
0.0087497,0.00195137,0.0131487,1,208,178.027,12.8726,1,1,1,208,0,0,0
0.00377365,0.000506891,0.00955478,1,211,178.027,12.5894,1,1,1,211,0,0,0
0.0186846,0.0147457,0.0208199,1,215,178.027,11.9812,1,1,1,215,0,0,0
0.00338508,0.00108134,0.00732975,1,211,178.027,11.8278,1,1,1,211,0,0,0
0.01704,0.00779764,0.0322914,1,213,178.027,11.5418,1,1,1,213,0,0,0
0.00520179,0.00130053,0.00836048,1,210,178.027,11.9591,1,1,1,210,0,0,0
0.0125469,0.0146623,0.0273931,1,211,178.027,12.5492,1,1,1,211,0,0,0
0.00717849,0.00795261,0.00939426,1,209,178.027,12.5775,1,1,1,209,0,0,0
0.0120239,0.00936106,0.027635,1,212,178.027,12.4926,1,1,1,212,0,0,0
0.00712423,0.00511149,0.0100222,1,218,178.027,12.3945,1,1,1,218,0,0,0
0.0121875,0.00974001,0.0285611,1,213,178.027,12.3651,1,1,1,213,0,0,0
0.00646161,0.000765511,0.0110223,1,214,178.027,12.2199,1,1,1,214,0,0,0
0.00425986,0.0118351,0.0127487,1,214,178.027,12.1333,1,1,1,214,0,0,0
0.0147115,0.00127789,0.024937,1,206,178.027,12.2418,1,1,1,206,0,0,0
0.00619579,0.00392345,0.0122443,1,208,178.027,12.6552,1,1,1,208,0,0,0
0.0131748,0.00450674,0.0271756,1,209,178.027,12.0062,1,1,1,209,0,0,0
0.00598,0.000839531,0.0100506,1,207,178.027,12.2153,1,1,1,207,0,0,0
0.00507535,0.0146057,0.0157136,1,213,178.027,11.8364,1,1,1,213,0,0,0
0.00801761,0.0103971,0.0155304,1,212,178.027,11.6351,1,1,1,212,0,0,0
0.00798255,0.00167399,0.0171038,1,213,178.027,11.8735,1,1,1,213,0,0,0
0.00473412,0.00284803,0.00996033,1,211,178.027,12.3055,1,1,1,211,0,0,0
0.00590542,0.00184823,0.0175581,1,207,178.027,12.4945,1,1,1,207,0,0,0
0.0107738,0.00225589,0.0230698,1,211,178.027,12.5032,1,1,1,211,0,0,0
0.010575,0.0143057,0.00983409,1,211,178.027,12.1189,1,1,1,211,0,0,0
0.00405607,0.000676542,0.00864199,1,207,178.027,12.904,1,1,1,207,0,0,0
0.00953863,0.00190304,0.0266416,1,213,178.027,11.8199,1,1,1,213,0,0,0
0.0136373,0.00335556,0.0166735,1,208,178.027,11.9769,1,1,1,208,0,0,0
0.01245,0.0133886,0.0296211,1,208,195.85,11.7165,1,1,1,208,0,0,0
0.00365792,0.00917859,0.00635864,1,203,195.85,12.0047,1,1,1,203,0,0,0
0.00440238,0.00291275,0.0104185,1,208,195.85,11.9108,1,1,1,208,0,0,0
0.0125231,0.00150894,0.0253941,1,209,195.85,12.0453,1,1,1,209,0,0,0
0.00683043,0.0283743,0.00713543,1,211,195.85,11.8833,1,1,1,211,0,0,0
0.00434394,0.00768953,0.00700925,1,214,195.85,11.2744,1,1,1,214,0,0,0
0.0121332,0.00519302,0.0273258,1,213,195.85,11.6045,1,1,1,213,0,0,0
0.00720357,0.0118823,0.00891553,1,213,195.85,12.5357,1,1,1,213,0,0,0
0.0127644,0.0141367,0.036273,1,214,195.85,12.4793,1,1,1,214,0,0,0
0.00474779,0.00127156,0.00868049,1,207,195.85,12.2685,1,1,1,207,0,0,0
0.0043992,0.00124089,0.0121304,1,207,195.85,12.2621,1,1,1,207,0,0,0
0.0126429,0.00137272,0.0251691,1,208,195.85,12.4542,1,1,1,208,0,0,0
0.00926778,0.0036834,0.0145069,1,213,195.85,12.2415,1,1,1,213,0,0,0
0.00430234,0.00146744,0.0104064,1,210,195.85,11.9146,1,1,1,210,0,0,0
0.0125006,0.0015186,0.0278427,1,209,195.85,11.5206,1,1,1,209,0,0,0
0.0135998,0.00125944,0.0174769,1,209,195.85,12.7359,1,1,1,209,0,0,0
0.00386439,0.00075317,0.00856023,1,212,195.85,12.2559,1,1,1,212,0,0,0
0.0122893,0.00207722,0.0270655,1,208,195.85,12.3873,1,1,1,208,0,0,0
0.00671658,0.00331286,0.0115198,1,210,195.85,12.5921,1,1,1,210,0,0,0
0.00508263,0.0139372,0.0126983,1,208,195.85,12.1673,1,1,1,208,0,0,0
0.00758755,0.000911595,0.0177089,1,213,195.85,12.195,1,1,1,213,0,0,0
0.00932528,0.00126829,0.0154281,1,212,195.85,12.7109,1,1,1,212,0,0,0
0.00751185,0.0046584,0.0150983,1,204,195.85,12.2793,1,1,1,204,0,0,0
0.0122357,0.00207161,0.0261563,1,211,195.85,12.1723,1,1,1,211,0,0,0
0.00888344,0.00118241,0.0114389,1,213,195.85,12.6098,1,1,1,213,0,0,0
0.00509174,0.000645392,0.0119998,1,212,195.85,12.3525,1,1,1,212,0,0,0
0.0123732,0.00150342,0.026098,1,214,195.85,12.5455,1,1,1,214,0,0,0
0.0120979,0.00329206,0.0147099,1,210,195.85,11.9157,1,1,1,210,0,0,0
0.0121247,0.0228846,0.025905,1,212,195.85,12.4562,1,1,1,212,0,0,0
0.00620142,0.00347557,0.00938403,1,211,195.85,12.7273,1,1,1,211,0,0,0
0.0139538,0.00344778,0.0275627,1,206,195.85,12.3301,1,1,1,206,0,0,0
